Sigla;Código;Município;Renda per capita média (Atlas DH - Censo) (2010);Percentual da população de 25 anos ou mais com ensino médio completo (Atlas DH - Censo) (2010);
BA;2905602;Camacan;351,84;15,87;
BA;2905701;Camaçari;553,18;38,06;
BA;2905800;Camamu;264,63;16,31;
BA;2905909;Campo Alegre de Lourdes;199,01;10,87;
BA;2906006;Campo Formoso;270,05;16,17;
BA;2906105;Canápolis;217,86;15,81;
BA;2906204;Canarana;252,39;15,8;
BA;2906303;Canavieiras;325,61;20,07;
BA;2906402;Candeal;251,54;19,19;
BA;2906501;Candeias;462,57;35,97;
BA;2906600;Candiba;290,99;14,85;
BA;2906709;Cândido Sales;268,57;13,41;
BA;2906808;Cansanção;216,24;13,73;
BA;2906824;Canudos;251,59;14,94;
BA;2906857;Capela do Alto Alegre;299,05;13,56;
BA;2906873;Capim Grosso;378,85;18,76;
BA;2906899;Caraíbas;277,97;7,9;
BA;2906907;Caravelas;394,43;18,01;
BA;2907004;Cardeal da Silva;207,42;13,08;
BA;2907103;Carinhanha;209,51;18,25;
BA;2907202;Casa Nova;289,24;15,35;
BA;2907301;Castro Alves;316,1;20,16;
BA;2907400;Catolândia;251,21;13,8;
BA;2907509;Catu;486,05;31,73;
BA;2907558;Caturama;234,88;10,56;
BA;2907608;Central;231,1;21,48;
BA;2907707;Chorrochó;248,5;19,3;
BA;2907806;Cícero Dantas;315,19;14,01;
BA;2907905;Cipó;312,03;21,78;
BA;2908002;Coaraci;366,33;22,85;
BA;2908101;Cocos;258,27;12,82;
BA;2908200;Conceição da Feira;348,39;28,87;
BA;2908309;Conceição do Almeida;290,98;21,11;
BA;2908408;Conceição do Coité;309,61;20,11;
BA;2908507;Conceição do Jacuípe;403,18;29,98;
BA;2908606;Conde;246,81;16,05;
BA;2908705;Condeúba;260,07;11,4;
BA;2908804;Contendas do Sincorá;293,12;16,06;
BA;2908903;Coração de Maria;257,21;19,81;
BA;2909000;Cordeiros;263,24;10,71;
BA;2909109;Coribe;237,03;15,95;
BA;2909208;Coronel João Sá;238,18;9,95;
BA;2909307;Correntina;285,96;17,41;
BA;2909406;Cotegipe;237,5;15,45;
BA;2909505;Cravolândia;259,87;20,72;
BA;2909604;Crisópolis;232,6;7,88;
BA;2909703;Cristópolis;239,23;16,33;
BA;2909802;Cruz das Almas;481,8;41,13;
BA;2909901;Curaçá;236,77;16,89;
BA;2910008;Dário Meira;206,16;13,25;
BA;2910057;Dias d'Ávila;460,6;36,32;
BA;2910107;Dom Basílio;240,83;14,59;
BA;2910206;Dom Macedo Costa;329,93;19,88;
BA;2910305;Elísio Medrado;315,04;15,62;
BA;2910404;Encruzilhada;220;11,22;
BA;2910503;Entre Rios;338,53;22,03;
BA;2910602;Esplanada;312,58;20,47;
BA;2910701;Euclides da Cunha;269,58;14,44;
BA;2910727;Eunápolis;575,44;33,55;
BA;2910750;Fátima;250,6;9,56;
BA;2910776;Feira da Mata;212,22;12,98;
BA;2910800;Feira de Santana;662,24;39,84;
BA;2910859;Filadélfia;250,08;15,51;
BA;2910909;Firmino Alves;325,51;17,37;
BA;2911006;Floresta Azul;242,04;17,19;
BA;2911105;Formosa do Rio Preto;287,94;20,04;
BA;2911204;Gandu;442,37;23,34;
BA;2911253;Gavião;271,53;20,42;
BA;2911303;Gentio do Ouro;207,35;13,26;
BA;2911402;Glória;266,14;15,19;
BA;2911501;Gongogi;234,7;15,17;
BA;2911600;Governador Mangabeira;322,02;25,15;
BA;2911659;Guajeru;241,69;8,27;
BA;2911709;Guanambi;496,05;28,77;
BA;2911808;Guaratinga;258,74;12,73;
BA;2911857;Heliópolis;241,36;11,3;
BA;2911907;Iaçu;311,24;16,58;
BA;2912004;Ibiassucê;350,98;15,98;
BA;2912103;Ibicaraí;354,75;23,12;
BA;2912202;Ibicoara;300,89;11,76;
BA;2912301;Ibicuí;307,49;18,03;
BA;2912400;Ibipeba;290,82;20,48;
BA;2912509;Ibipitanga;249,32;13,29;
BA;2912608;Ibiquera;199,55;13,32;
BA;2912707;Ibirapitanga;261,88;11,93;
BA;2912806;Ibirapuã;431,31;18,02;
BA;2912905;Ibirataia;278,69;17,05;
BA;2913002;Ibitiara;244,68;11,76;
BA;2913101;Ibititá;250,63;15,41;
BA;2913200;Ibotirama;337,12;25,06;
BA;2913309;Ichu;296,17;28,41;
BA;2913408;Igaporã;306,74;21,2;
BA;2913457;Igrapiúna;269,34;12,24;
BA;2913507;Iguaí;258,8;11,89;
BA;2913606;Ilhéus;579,46;35,84;
BA;2913705;Inhambupe;254,99;15,84;
BA;2913804;Ipecaetá;186,54;8,22;
BA;2913903;Ipiaú;573,36;26,26;
BA;2914000;Ipirá;274,88;11,66;
BA;2914109;Ipupiara;258,3;14,26;
BA;2914208;Irajuba;236,16;13,44;
BA;2914307;Iramaia;234,91;14,8;
BA;2914406;Iraquara;242,58;17,47;
BA;2914505;Irará;308,34;22,11;
BA;2914604;Irecê;488,15;32,19;
BA;2914653;Itabela;365,39;16,74;
BA;2914703;Itaberaba;422,79;26,01;
BA;2914802;Itabuna;605,12;38,73;
BA;2914901;Itacaré;323,3;17,36;
BA;2915007;Itaeté;224,79;15,29;
BA;2915106;Itagi;234,8;13,22;
BA;2915205;Itagibá;270,27;17,66;
BA;2915304;Itagimirim;339,65;21,59;
BA;2915353;Itaguaçu da Bahia;245,68;11,31;
BA;2915403;Itaju do Colônia;276,93;16,99;
BA;2915502;Itajuípe;354,2;21,32;
BA;2915601;Itamaraju;432,95;21,17;
BA;2915700;Itamari;325;17,62;
BA;2915809;Itambé;312,32;14,27;
BA;2915908;Itanagra;289,16;16,17;
BA;2916005;Itanhém;388,04;20,2;
BA;2916104;Itaparica;476,99;33,09;
BA;2916203;Itapé;285,13;18,05;
BA;2916302;Itapebi;273,69;16,14;
BA;2916401;Itapetinga;506,76;29,47;
BA;2916500;Itapicuru;185,7;6,63;
BA;2916609;Itapitanga;225,1;16,25;
BA;2916708;Itaquara;229,04;7,55;
BA;2916807;Itarantim;352,74;16,97;
BA;2916856;Itatim;245,37;18,14;
BA;2916906;Itiruçu;309,83;20,95;
BA;2917003;Itiúba;205,18;11,23;
BA;2917102;Itororó;330;17,07;
BA;2917201;Ituaçu;269,3;13,26;
BA;2917300;Ituberá;337,03;19,4;
BA;2917334;Iuiú;249,32;14,96;
BA;2917359;Jaborandi;281,14;14,19;
BA;2917409;Jacaraci;283,51;11,56;
BA;2917508;Jacobina;417,88;27,88;
BA;2917607;Jaguaquara;307,08;15,04;
BA;2917706;Jaguarari;439,23;23,37;
BA;2917805;Jaguaripe;247,75;12,59;
BA;2917904;Jandaíra;192,11;14,65;
BA;2918001;Jequié;473,92;31,75;
BA;2918100;Jeremoabo;262,76;12,38;
BA;2918209;Jiquiriçá;257,95;11,82;
BA;2918308;Jitaúna;266,56;19,59;
BA;2918357;João Dourado;283,12;15,75;
BA;2918407;Juazeiro;476,58;32,91;
BA;2918456;Jucuruçu;188,8;12,25;
BA;2918506;Jussara;236,05;13,95;
BA;2918555;Jussari;290,22;17,29;
BA;2918605;Jussiape;334,07;16,13;
BA;2918704;Lafaiete Coutinho;288,05;15,67;
BA;2918753;Lagoa Real;223,11;9,32;
BA;2918803;Laje;241,63;15,22;
BA;2918902;Lajedão;463,94;13,15;
BA;2919009;Lajedinho;205,65;11,41;
BA;2919058;Lajedo do Tabocal;237,39;10,45;
BA;2919108;Lamarão;180,82;9,14;
BA;2919157;Lapão;244,43;16,05;
BA;2919207;Lauro de Freitas;1031,78;50,72;
BA;2919306;Lençóis;362,74;31,45;
BA;2919405;Licínio de Almeida;299,47;17,47;
BA;2919504;Livramento de Nossa Senhora;309,16;16,92;
BA;2919553;Luís Eduardo Magalhães;871,12;33,71;
BA;2919603;Macajuba;197,25;9,72;
BA;2919702;Macarani;350,25;17,79;
BA;2919801;Macaúbas;255,36;14,56;
BA;2919900;Macururé;240,32;23,32;
BA;2919926;Madre de Deus;517,74;47,05;
BA;2919959;Maetinga;268,47;8,99;
BA;2920007;Maiquinique;306,24;15,93;
BA;2920106;Mairi;286,58;13,77;
BA;2920205;Malhada;218,66;14,55;
BA;2920304;Malhada de Pedras;244,02;11,69;
BA;2920403;Manoel Vitorino;226,95;9,63;
BA;2920452;Mansidão;182,65;23,45;
BA;2920502;Maracás;290,11;17,96;
BA;2920601;Maragogipe;300,1;22,14;
BA;2920700;Maraú;437,51;16,69;
BA;2920809;Marcionílio Souza;201,52;13,09;
BA;2920908;Mascote;272,97;14,43;
BA;2921005;Mata de São João;451,9;33,28;
BA;2921054;Matina;227,07;12,28;
BA;2921104;Medeiros Neto;392,49;15,93;
BA;2921203;Miguel Calmon;279,05;16,2;
BA;2921302;Milagres;313,88;20,94;
BA;2921401;Mirangaba;193,47;12,61;
BA;2921450;Mirante;208,18;7,25;
BA;2921500;Monte Santo;197,43;7,64;
BA;2921609;Morpará;224,53;11,49;
BA;2921708;Morro do Chapéu;250,88;16,28;
BA;2921807;Mortugaba;330,3;14,37;
BA;2921906;Mucugê;312,35;22,02;
BA;2922003;Mucuri;546,41;30,16;
BA;2922052;Mulungu do Morro;199,94;12,85;
BA;2922102;Mundo Novo;346,89;14,19;
BA;2922201;Muniz Ferreira;297,78;22,17;
BA;2922250;Muquém de São Francisco;166,67;10,75;
BA;2922300;Muritiba;401,14;24,76;
BA;2922409;Mutuípe;374,8;15,22;
BA;2922508;Nazaré;421,82;28,13;
BA;2922607;Nilo Peçanha;218,32;14,08;
BA;2922656;Nordestina;187,22;12,79;
BA;2922706;Nova Canaã;251,9;9,45;
BA;2922730;Nova Fátima;287,32;16,96;
BA;2922755;Nova Ibiá;378,1;13,66;
BA;2922805;Nova Itarana;188,86;11,05;
BA;2922854;Nova Redenção;222,33;12,95;
BA;2922904;Nova Soure;241,71;16,02;
BA;2923001;Nova Viçosa;476,79;20,74;
BA;2923035;Novo Horizonte;257,12;14,9;
BA;2923050;Novo Triunfo;194,56;12,84;
BA;2923100;Olindina;222,62;13,58;
BA;2923209;Oliveira dos Brejinhos;220,72;12,3;
BA;2923308;Ouriçangas;281,59;15,67;
BA;2923357;Ourolândia;239,93;12,37;
BA;2923407;Palmas de Monte Alto;262,69;14,89;
BA;2923506;Palmeiras;350,79;22,54;
BA;2923605;Paramirim;343,78;19,43;
BA;2923704;Paratinga;201,79;17,02;
BA;2923803;Paripiranga;273,23;13,93;
BA;2923902;Pau Brasil;296,08;15;
BA;2924009;Paulo Afonso;544,73;32,46;
BA;2924058;Pé de Serra;257,45;14,52;
BA;2924108;Pedrão;221,53;15,69;
BA;2924207;Pedro Alexandre;167,65;8,47;
BA;2924306;Piatã;234,44;11,44;
BA;2924405;Pilão Arcado;195,98;9,87;
BA;2924504;Pindaí;270,15;15,02;
BA;2924603;Pindobaçu;212,52;15,82;
BA;2924652;Pintadas;281,74;14,53;
BA;2924678;Piraí do Norte;238,62;9,6;
BA;2924702;Piripá;241,1;11,89;
BA;2924801;Piritiba;271,4;15,07;
BA;2924900;Planaltino;282,33;10,15;
BA;2925006;Planalto;256,26;9,76;
BA;2925105;Poções;300,74;14,82;
BA;2925204;Pojuca;443,8;33,89;
BA;2925253;Ponto Novo;229,61;11,83;
BA;2925303;Porto Seguro;527,04;30,64;
BA;2925402;Potiraguá;323,92;18,23;
BA;2925501;Prado;369,96;21,84;
BA;2925600;Presidente Dutra;280,86;20,54;
BA;2925709;Presidente Jânio Quadros;220,1;7,35;
BA;2925758;Presidente Tancredo Neves;270,35;14,08;
BA;2925808;Queimadas;245,7;19,01;
BA;2925907;Quijingue;228,71;10,64;
BA;2925931;Quixabeira;241,1;13,6;
BA;2925956;Rafael Jambeiro;226,94;11,39;
BA;2926004;Remanso;275,22;15,85;
